epoch,fid
90,77.65513764463472
78,78.70920303634934
120,79.59877214434925
94,76.62783332185528
40,85.74890929525667
22,91.80977722852383
114,79.61962392580115
28,88.36533508373256
106,80.30965697729053
68,83.24258905412486
80,80.62297181222972
104,79.82718283695846
84,84.48983657764236
112,81.05827099319438
100,77.61167512763626
88,78.93617184837777
82,78.14592370983758
24,90.57468986989173
54,83.90734364451052
98,81.21932930365747
102,79.77668922240296
64,86.4262578341409
36,89.51394098569084
70,82.43272173807628
116,80.73649930220917
86,81.04257668312417
48,82.43333203325918
92,82.02911693830723
118,80.76729604187817
34,87.41323981570993
96,78.05283586740906
72,82.6075900188845
58,84.50915035390834
10,109.40097508217389
50,85.54550709269364
110,81.03699408496564
46,82.6427011004331
38,87.6253282909689
44,88.15860048223628
32,91.28149487756905
30,88.73390451465853
60,82.22628455872965
26,89.69874197470835
20,94.44987125308936
108,76.52859626405336
66,86.47246758697142
42,84.28617162718153
62,86.18081551668627
